"Ctrl_0"	"Ctrl_1"	"Ctrl_2"	"Ctrl_3"	"TollLPS_0"	"TollLPS_1"	"TollLPS_2"	"TollLPS_3"	"TollMRP8_0"	"TollMRP8_1"	"TollMRP8_2"	"TollMRP8_3"	"ActLPS_0"	"ActLPS_1"	"ActLPS_2"	"ActLPS_3"
"AA06"	78219.3280523643	42919.8819911107	92727.3974986747	77324.3224713951	107577.505288646	116245.062835515	201232.127146795	144992.180122063	121220.791898668	203171.501448378	257321.525830775	266252.737492323	361037.746537477	323657.216527499	302422.76058998	345465.045771562
"AAAS"	25968.1246709079	32122.4673418328	6019.51573044062	4345.64538300037	263314.011506736	147226.381767541	269813.863700256	172301.282919943	232989.738835022	111950.427340344	229347.518412396	235659.399814904	397660.306328908	318914.48260285	314913.796726614	320717.249857262
"AACS"	5505.38182724267	62554.2796915397	96447.0288716257	82730.2868943661	137863.67722787	286698.17247428	150067.556463182	248680.638056248	170564.175862819	127667.61588864	140961.474226788	167624.094057828	332371.458061971	337588.860001415	331123.176496476	302855.0228104
"AACSP1"	31502.823648043	21302.5450939313	73249.6118871495	49924.1020530462	268352.543050423	206048.84615168	284009.597590193	131585.707794875	187250.542920083	155218.140920624	226317.767333239	253443.488292396	333814.173564315	320351.298386231	368244.703207165	395469.921641052
"AADAC"	72977.1971702576	8033.60443096608	43553.048488684	23658.0453347415	214399.013156071	118220.60002014	246374.415885657	156040.617637336	242529.882676899	208749.074023217	295054.866187274	164306.300552562	327949.320687912	338062.748126686	305556.329502724	335499.696037732
"AADACL2"	79156.7798471078	25868.4316882864	98598.3831807971	75687.3743608594	185548.216616735	274603.469157591	128975.964616984	106033.754395321	291347.898589447	224353.953823447	108380.020270124	143668.449111283	389434.436941519	320350.32059066	365778.813860379	320119.979418814
"AADACL2-AS1"	97977.8247186914	21894.7839224711	94870.7183124498	14945.7946186885	267833.108268678	172849.137336016	182786.617800593	141736.929491162	203729.441389441	255974.28586334	267035.334464163	149160.963995382	369129.713950679	370542.638842016	365701.934276149	397429.463802837
"AADACL3"	60035.6970680878	94643.0751821026	68835.3356905282	50553.3723160625	204247.208917513	193851.047707722	287852.814747021	150004.60757874	193241.204647347	108228.130452335	270096.951164305	110764.858499169	312206.620676443	362293.061520904	340579.355810769	309331.940254197
"AADACL4"	37293.6244821176	33580.5038455874	4825.13525057584	61894.7539012879	190364.308934659	228530.404483899	291906.129056588	286739.326454699	280119.99996379	204969.768924639	264059.552783147	129608.431598172	304741.362622008	381870.27014792	356280.075060204	306404.188997112
"AADACP1"	96144.7291774675	65496.050962247	51029.1991522536	15009.8210666329	165910.187084228	228423.587558791	122631.344618276	180007.17042014	225401.455909014	242242.858465761	163727.202359587	259384.639887139	367365.999380127	342337.910202332	350289.857829921	385472.216829658
"AADAT"	87044.7880355641	51444.1677834839	864.791357889771	1919.47654820979	218442.46853143	170701.786177233	242678.59053798	137449.360545725	251230.408623815	224405.846837908	133277.873601764	177663.520211354	308059.143321589	320606.113201939	389072.824385948	361737.382318825
"AAED1"	14451.1901540682	30503.1754774973	82565.6862696633	50234.4642300159	187750.31096302	248499.432578683	220013.123843819	242991.678137332	281004.499970004	265284.247137606	217141.637485474	132120.622415096	373663.156130351	321380.293881521	323397.676856257	365708.198584616
"AAGAB"	80357.2625853121	6063.9982111752	92795.5136401579	80817.8551029414	263454.652670771	124828.939558938	208917.364664376	113848.078111187	181406.612880528	185780.291957781	222821.767022833	299421.906424686	306621.523597278	322910.460014828	352012.416766956	375415.431102738
"AAK1"	7881.33398164064	60092.8281666711	71477.9880596325	51384.5653273165	175954.282237217	110675.484035164	271859.461348504	284259.9241063	189798.263972625	193557.485891506	211256.110668182	244147.517718375	369868.523953483	363157.754321583	318724.728212692	361464.87290971
"AAMDC"	72011.6504933685	74994.6269905195	9564.05238248408	39782.5865074992	236930.61308004	288213.713979349	255314.570665359	200706.513924524	168445.95586881	131548.269698396	130192.813137546	240364.634431899	389102.926524356	332385.780964978	356652.538035996	330571.414576843
"AAMP"	29446.5403072536	61725.3665579483	97427.4127278477	61821.2037952617	168260.472547263	225681.195501238	239646.285492927	106102.490797639	200016.995659098	206795.350043103	135134.596051648	151045.445585623	313509.318302386	333269.832236692	342447.426472791	303682.291065343
"AANAT"	52136.9193447754	90250.3795921803	63745.4432668164	86430.1132969558	248541.763378307	238002.90231593	143748.513748869	137315.616896376	150624.298956245	170993.739971891	270249.162381515	131795.900315046	346251.210058108	308521.933690645	317193.262442015	347488.882113248
"AAR2"	25111.7740990594	21506.908070296	60947.6044774055	38344.4635430351	147071.845782921	159895.637957379	114631.989831105	110856.444621459	277195.247588679	110378.504777327	197877.504955977	173360.67087017	309355.777222663	358870.67054864	355079.619423486	372959.027439356
"AARD"	75527.1044559777	37973.6242815852	79497.2063507885	90569.1135907546	206492.968834937	178248.227061704	296436.055656523	178257.722128183	168882.206920534	272562.471684068	105606.993194669	231803.241278976	363524.194294587	375553.385610692	395472.464361228	335524.235619232
"AARS"	98402.6173362508	58794.7973515838	946.405157446861	32079.2069192976	263735.497603193	113016.737205908	165610.088594258	130388.159351423	191842.55595319	188970.171427354	260928.645450622	257507.481658831	370200.606342405	385803.761519492	355316.542740911	347233.659122139
"AARS2"	55945.6733288243	51491.7560154572	8971.18621505797	68325.0573696569	152254.58429195	104459.868185222	131775.163440034	181371.6028817	180835.090763867	278563.493443653	186899.184435606	139936.417015269	357696.8571404	371011.833357625	390599.889447913	337084.813858382
"AARSD1"	70997.2049575299	80023.1554079801	94407.8414933756	18664.6137619391	206826.11586526	227287.89919056	248917.542817071	247183.566587046	200286.752451211	274563.336512074	144929.2993173	208471.399219707	328669.989015907	375397.437415086	303525.154083036	353314.953343943
"AASDH"	27864.2282355577	77426.328882575	3344.76146381348	67191.8140724301	202536.988258362	197488.909820095	278168.142726645	105782.865826041	165549.53455925	214636.810962111	244179.314048961	185349.714197218	335385.650233366	322173.129301518	380396.211938933	365568.510419689
"AASDHPPT"	81276.7121940851	66316.1238888279	94447.467266582	87484.406773001	288539.386820048	241317.701665685	119262.563157827	236655.678972602	151969.757862389	217450.74079372	205250.130360946	117952.140094712	390513.633005321	318133.462709375	307216.616207734	311888.507660478
"AASS"	69737.1197631583	18504.0891403332	9754.4310381636	80775.9990915656	271279.062563553	249305.507680401	249718.774668872	299599.34768267	195029.237354174	174360.443651676	213791.517261416	231918.491609395	316501.580621116	309233.200200833	314641.105080955	385396.969411522
"AATF"	52177.763544023	69354.0676729754	21632.9589253291	62994.2871630192	187567.455274984	291767.421690747	182389.221573249	155476.550851017	253001.41707994	109833.539836109	293972.269399092	276704.563479871	309639.312978834	354331.370559521	385369.12354175	311298.450664617
"AATK"	14700.7877472788	95907.0459241048	99011.0446698964	49643.9307928085	247302.603442222	113693.463243544	248933.823639527	235454.377578571	239647.728344426	215299.991704524	168150.522653013	161157.533340156	352827.908471227	396463.230671361	354601.30374413	310936.632123776
"AATK-AS1"	91964.7643575445	37213.0140895024	82705.7445887476	55904.2947832495	120741.080772132	230904.042487964	119461.946422234	109498.911863193	208332.523005083	206464.115716517	250862.267799675	107218.082435429	361093.852459453	377855.854970403	351574.022346176	339217.348583043
"ABAT"	79567.1204570681	35202.1745173261	20852.7672803029	78478.0624322593	164372.343802825	246903.609158471	235030.133556575	148488.795524463	228029.245696962	116870.308993384	108358.618756756	180235.615279526	336648.642737418	304312.622454017	348755.425959826	393165.87576177
"ABCA1"	68305.1250642166	43201.10140834	84643.3986909688	60194.3839108571	209989.713225514	141369.968280196	157858.589245006	147262.223251164	164698.883565143	183192.331809551	150213.627703488	202618.376305327	388905.839296058	345930.311782286	303246.254799888	386620.98615896
"ABCA10"	74066.0515381023	59490.2001088485	85155.9089729562	81390.100880526	101239.511370659	251005.742093548	119625.681499019	212327.306903899	112227.186281234	101177.386892959	288948.899786919	245038.931118324	317646.144982427	397640.336467884	342260.093940422	371833.781641908
"ABCA11P"	38042.3351423815	49230.8202432469	99337.7464590594	17408.9450156316	297114.913957193	272420.783806592	297737.571923062	275066.711241379	194478.653976694	129728.5921406	149247.348820791	102666.920563206	331037.147110328	306775.48404783	333507.332042791	378726.81801673
"ABCA12"	83428.0799608678	39581.5373631194	96905.6134112179	18820.6466846168	276737.853512168	273523.288313299	209058.613609523	204127.886565402	114767.577173188	227703.58081907	112744.733784348	237442.039186135	330071.042920463	358470.875560306	379544.875281863	320068.772812374
"ABCA13"	74922.1669742838	30846.9610055909	37905.8901453391	75076.5843084082	190356.597863138	123831.515945494	280355.059402063	129724.898468703	212949.257530272	219855.786301196	111048.314068466	265238.610003144	350205.951277167	326761.121023446	312094.290414825	307419.087016024
"ABCA17P"	70420.167548582	92059.3033544719	79527.7312630787	82907.6963244006	289300.583070144	110530.335828662	102390.103926882	172387.880692258	168946.818355471	210473.814047873	240442.311530933	129601.515131071	341353.578981943	305441.992124543	397899.834834971	330701.457569376
"ABCA2"	16754.7662509605	40995.9779353812	19625.2740686759	25940.0624316186	141400.849400088	110347.433108836	225504.077831283	277105.016121641	140490.805730224	121791.940042749	237422.557082027	235244.360705838	383042.85290651	392281.352938153	320529.274316505	355099.774408154
"ABCA3"	97041.6266936809	81164.3202090636	34759.5839528367	93834.5527742058	148954.215226695	137001.28654018	210337.721463293	119844.336016104	194273.265916854	223815.988469869	210737.296240404	167924.480326474	393780.809547752	397853.610687889	311137.89412193	315310.010244139
"ABCA4"	16338.6893924326	15680.9160253033	75406.3257249072	88605.0402885303	156268.910365179	117391.789145768	232814.105926082	231195.401586592	143698.700657114	206933.254795149	167635.182896629	137909.39161554	342253.1028511	344518.863153644	387718.70341152	384848.689218052
"ABCA5"	30676.4136301354	31108.1748455763	98452.5189269334	692.923017777503	283690.214995295	225513.818999752	224827.859830111	261364.630563185	138931.823009625	258998.693712056	296167.378919199	133901.134552434	353799.411421642	383723.803702742	394748.428068124	375296.157668345
"ABCA6"	27432.0577736944	79804.4214723632	24366.971780546	45827.3462019861	266465.398157015	204377.388907596	252469.083387405	252632.833365351	244322.239793837	166899.768728763	195271.214097738	215036.434028298	396208.479255438	364760.407665744	382268.356415443	384270.285139792
"ABCA7"	58859.2323707417	89259.1778654605	12379.4907238334	51330.9016125277	228896.283823997	274847.727268934	178396.185021847	239205.078361556	247069.751285017	199565.453454852	208740.509254858	231720.918091014	347829.164937139	304982.917732559	355233.839782886	376548.955379985
"ABCA8"	66364.022064954	76554.2000066489	9262.61742133647	6764.45332355797	209788.186661899	284147.586068138	257924.396917224	260194.140300155	279662.131797522	115015.544183552	180619.470588863	101569.12910752	379882.260854356	384817.047277465	317592.047620565	383783.975359984
"ABCA9"	55609.8332395777	65131.8407151848	29596.26885131	69550.4883071408	179876.298690215	150211.377535015	284948.705183342	280177.069222555	201587.086962536	291035.393485799	123453.617515042	278775.154938921	317434.387025423	369014.01989162	397771.191527136	322419.18342188
"ABCB1"	37766.9956535101	26096.1941210553	94015.8987417817	43088.9947805554	199352.861568332	240637.096622959	149586.248956621	191139.803081751	137312.852591276	249066.578503698	112862.913170829	136520.562227815	318283.367436379	311897.137179039	323275.255970657	383501.336770132
"ABCB10"	32706.4584475011	53490.8138215542	62594.1616715863	17042.1986840665	227094.784611836	159761.653887108	111845.0331036	202702.214056626	269929.046928883	268965.514237061	278542.796196416	123657.996952534	355806.025094353	386276.031495072	394601.470744237	365842.350013554
"ABCB11"	10931.6304326057	10727.8782641515	9274.17729981244	53457.5529629365	291626.31505169	160692.171799019	134030.340379104	113169.283000752	253880.30516915	259316.14744477	263560.095848516	133007.094310597	305166.381062008	308285.124553367	305843.287729658	392585.412343033
"ABCB4"	89638.9214554802	71002.6019020006	90645.4171985388	43668.86082571	155799.190467224	271956.042107195	269696.548115462	106934.336293489	145027.631893754	223809.132585302	193708.660081029	129339.544987306	337748.466501944	369050.541520119	350377.182569355	369825.662323274
"ABCB5"	46781.889279373	59811.9512200356	30674.7881695628	57200.0849060714	248101.132921875	254648.33509177	145594.09241192	216007.320769131	186926.227388903	182056.777738035	248144.723800942	154335.634689778	390215.006424114	382171.452627517	326907.385373488	359919.71322801
"ABCB6"	47920.3154100105	69661.69802472	73527.9849963263	51656.3641373068	107137.728482485	109075.53373836	179199.498938397	196915.948670357	202934.970799834	110012.324899435	193535.959767178	193635.061196983	300087.481690571	351545.230438933	339056.892227381	313068.706775084
"ABCB7"	98537.135659717	91797.9258112609	47248.7925551832	38062.6652855426	263355.130702257	183624.215144664	272367.094596848	131171.908229589	256292.746169493	134861.919190735	214233.806263655	275875.477213413	368453.421886079	398923.224397004	363181.736250408	375420.204875991
"ABCB8"	93881.0367370024	94447.7043347433	90682.4655132368	78437.7698553726	138902.725744992	197141.052084044	168471.172777936	128529.105754569	130893.284268677	165509.84159112	283803.923195228	290542.02423431	386962.518189102	352418.761816807	342530.576558784	317650.635074824
"ABCB9"	62633.1066479906	67564.3713446334	93710.9754420817	53452.7150914073	185570.176551118	157252.125581726	203697.193227708	212326.488923281	135837.076185271	179283.885285258	272207.522811368	123491.693567485	326403.892389499	371538.771525957	369788.711029105	329417.405603454
"ABCC1"	33679.0025932714	79067.0773014426	12326.4571651816	95912.8322079778	116215.515509248	277253.721328452	189969.750493765	195189.491007477	232827.141461894	260245.668049902	295878.112502396	101230.858266354	366800.729045644	324679.393484257	306812.222278677	386905.090743676
"ABCC10"	3249.19919949025	25968.9183905721	87643.025140278	84562.4469220638	141014.409996569	229514.373606071	193362.644081935	171867.972658947	207531.372783706	294769.732654095	292569.638742134	159455.458819866	349592.979624867	325190.684944391	360956.427431665	385713.364835829
"ABCC11"	1685.39031874388	18364.0870498493	11584.2130733654	47841.4620505646	103288.64492476	292580.654192716	260895.750625059	220976.722380146	239902.342529967	297179.456613958	131694.140844047	292880.287673324	314540.935331024	398290.310171433	341088.272165507	358174.25348796
"ABCC12"	94972.4883306772	82573.7690553069	81155.870994553	91573.6930212006	289897.662168369	222234.826674685	152399.389771745	142336.130701005	174374.887859449	135330.957081169	208726.976392791	247296.907519922	304967.521689832	395966.879907064	331924.507021904	359358.983370475
"ABCC13"	70016.5269896388	8303.85710578412	11807.6135171577	79364.9655301124	120300.931157544	127424.53343235	130884.90231894	228157.894872129	135051.546106115	180711.934762076	102920.951414853	209818.812739104	312273.460463621	387224.49336201	309632.923826575	393955.593835562
"ABCC2"	99604.3835300952	69103.5651834682	14733.91817417	31784.7817903385	109823.79396446	115830.767573789	203855.043556541	269634.472439066	167538.487911224	107430.07780984	183663.151459768	234670.036658645	346958.109294064	336597.203137353	329337.744181976	393240.211158991
"ABCC3"	15597.8891532868	99525.3547793254	74822.7272881195	39303.9340153337	121431.445609778	293357.413774356	270083.185145631	230515.735829249	154796.697059646	294770.672125742	212186.464713886	290181.172592565	319359.583943151	316915.826289915	385897.18870353	369823.791482486
"ABCC4"	55139.132309705	2941.00516475737	33630.2002426237	85837.9176352173	239433.771232143	178242.621570826	222272.512549534	291320.375911891	263195.991888642	162144.824536517	115881.401859224	229282.956011593	371628.418657929	310122.303990647	373351.321159862	344229.284441099
"ABCC5"	12708.8136039674	79149.4479170069	9788.18924631923	1915.3465051204	277279.558731243	152940.918179229	219352.030474693	193883.2688611	137324.66888614	144710.480840877	273961.404059082	288464.145828038	369575.650035404	331212.777225301	369672.165252268	363987.325457856
"ABCC5-AS1"	27602.2419799119	41115.1906009763	6670.1827570796	79653.1564323232	102900.768630207	227874.128846452	169821.380078793	246907.240012661	137543.975608423	183964.050328359	274152.020225301	252623.108774424	338994.206767529	329295.548121445	394620.089186355	316705.001052469
"ABCC6"	50632.5243040919	51862.3818876222	70545.9951423109	83161.9082950056	253419.132065028	272110.754065216	213483.59612748	257138.754660264	188082.639500499	156214.313162491	204820.267856121	196897.047106177	315823.734086007	382882.742374204	329314.139252529	324367.528199218
"ABCC6P1"	6089.64301645756	33683.5775757208	80224.0962628275	28350.2535661682	157581.220800057	228228.013589978	116462.801489979	202520.566759631	228897.084342316	260106.129432097	154162.221262231	226557.293254882	350327.480724081	378116.86466448	349442.933825776	319793.229713105
"ABCC6P2"	81487.7144061029	21508.3113638684	55515.2839282528	1552.77014710009	275619.069533423	175393.063155934	286461.73896268	188422.268303111	220842.020725831	279432.962043211	176520.107546821	108946.876646951	397641.454590484	373149.016709067	337179.145240225	315097.649698146
"ABCC8"	5268.83162092417	59865.7281836495	70829.0646551177	65344.0659865737	134162.961458787	154436.283931136	209175.395360216	299343.925435096	204184.712050483	283412.110432982	198726.794915274	104627.355048433	393611.658667214	348402.711842209	359360.637003556	306865.493301302
"ABCC9"	57741.3968509063	67828.5533096641	20997.7886872366	23698.010481894	147938.411869109	275066.490005702	267413.279321045	278627.01471895	134604.612225667	167836.717609316	163753.370242193	179499.779315665	371297.171129845	331459.085410461	360319.677530788	327925.199898891
"ABCD1"	45675.0267650932	34015.1326963678	40092.7686132491	43169.2220037803	214585.860073566	114900.41622892	107300.095632672	204952.447488904	244775.613257661	288135.614618659	175146.820768714	224391.29720442	326723.798690364	315097.129414789	395233.785966411	363264.687755145
"ABCD2"	95537.3060656711	22227.9071807861	36531.0793044046	88247.5363789126	138697.711797431	244207.950821146	200581.742543727	177707.898849621	110785.169526935	264191.383635625	228814.716730267	170734.926126897	359340.469818562	374029.051000252	394026.48950927	377448.083902709
"ABCD3"	52701.6459964216	58571.2720174342	25766.2137039006	86886.8994526565	138505.962910131	123747.442103922	144593.054708093	129010.893404484	146762.91984506	234931.550780311	250081.382272765	296811.640448868	363471.364276484	373083.631973714	304676.720290445	374550.495413132
"ABCD4"	31290.2956502512	67286.0158141702	61911.26992926	40352.4145949632	106911.692395806	203160.16105935	146990.640135482	120070.463838056	125381.626887247	257818.290358409	286799.951642752	197369.412891567	357570.932921953	390266.316430643	311307.197762653	342592.380708084
"ABCE1"	40440.014237538	96233.5983291268	31499.7619250789	1587.07979135215	119115.003105253	180420.019570738	178752.050967887	272627.503797412	280007.582670078	232293.750857934	135354.737658054	279975.06535612	374863.94837033	397896.657674573	386260.55251807	300515.657127835
"ABCF1"	16064.6850243211	22925.6301885471	38948.9761320874	84909.3164550141	194905.182439834	119923.280226067	180951.731605455	269226.185558364	172512.078890577	247411.904390901	250474.317371845	182508.833566681	339159.476966597	349341.722717509	332407.126878388	324577.280995436
"ABCF2"	73663.8838425279	67484.7262678668	10752.1296478808	5940.87648205459	217602.312890813	114648.240385577	104468.114534393	115090.798167512	125788.498530164	131190.621946007	296471.078088507	153548.688627779	335577.792581171	336140.578705817	345013.02856952	376250.068680383
"ABCF3"	96116.043953225	72969.899745658	49055.3970215842	88095.8732450381	275018.567033112	203537.745494395	142070.489143953	139510.782761499	251526.435604319	289293.389301747	179981.171665713	238572.482764721	395141.882891767	320380.108011886	337854.7180444	354167.838324793
"ABCG1"	57922.8614922613	69433.6721906438	91104.0919367224	83785.6200058013	292596.504930407	268140.528257936	194459.670037031	274074.852606282	142922.309180722	116630.474757403	195997.935626656	170431.136246771	359313.138620928	308735.617832281	313366.482872516	366507.997829467
"ABCG2"	51438.8120500371	62658.2279102877	79519.5278013125	94381.3586141914	265165.505697951	166608.773218468	122877.469705418	263129.946077242	128267.225623131	284670.374915004	140834.943810478	109542.525233701	334495.612606406	363175.277225673	396059.790858999	329631.458828226
"ABCG4"	4431.47490732372	75348.3006265014	68472.4036836997	62237.7251973376	174618.717515841	146681.529423222	277571.281837299	167536.836350337	290496.075851843	249924.484826624	146847.120346501	295079.996343702	383131.016790867	306144.688813947	359113.046666607	357784.438203089
"ABCG5"	99349.6000068262	63565.2735363692	65592.4289720133	72744.7244804353	194578.571105376	199495.874810964	110530.68023175	273861.119803041	176135.832583532	152799.928048626	285863.182274625	212262.188643217	312522.727949545	358994.247182272	372859.721072018	309213.697072119
"ABCG8"	58518.5402305797	57527.2629735991	3470.72549629956	78702.2555246949	280364.663107321	104038.722254336	113857.298064977	133930.296637118	113188.285892829	203749.466547742	116314.993891865	100352.196581662	362082.275515422	375574.163394049	307456.899853423	363578.175660223
"ABHD1"	18095.2955270186	16832.7103368938	48044.1838968545	24254.4390726835	131614.356068894	263623.868534341	285151.669802144	187897.89089933	239987.893495709	294533.928390592	265354.997338727	123857.698589563	398100.207932293	345008.177659474	345945.269754156	335593.696939759
"ABHD10"	34259.635861963	71731.4888024703	87084.2307806015	25400.7079871371	281959.2832122	287628.859328106	179894.858039916	174501.979444176	231208.943389356	185124.637093395	117181.24197796	188102.032337338	323736.532730982	339069.39313747	308661.500434391	343025.224399753
"ABHD11"	79259.6827959642	57148.3975974843	53045.6529930234	78454.6139882877	249468.637024984	252261.294377968	235154.288634658	221125.644212589	186788.102099672	110013.448400423	172702.267719433	151180.162280798	358229.961665347	391589.966812171	338000.308792107	327104.473928921
"ABHD12"	92699.1815213114	62168.5350779444	64584.2886064202	43439.3962146714	258446.51395455	251639.000140131	271996.233658865	289858.380705118	188079.002592713	164970.290195197	126907.029794529	133281.731652096	358514.502784237	339887.92381715	324267.073906958	317214.923258871
"ABHD12B"	43214.9598607793	97511.1786276102	30775.8915238082	45716.7949760333	146676.637744531	201261.817710474	230470.703262836	268532.020878047	209498.099936172	272678.713127971	162826.955411583	179690.388450399	372472.65195474	330832.988396287	368379.935389385	343803.019332699
"ABHD13"	70661.4809343591	81103.0849115923	30671.4098202065	67805.5548341945	162409.313954413	276719.367038459	248280.848842114	185941.287595779	231860.902300104	110689.933365211	149972.613435239	208385.510975495	358029.296901077	342333.726258948	353544.094087556	375768.416305073
"ABHD14A"	78429.9286780879	86016.1478165537	61827.3460771888	18852.812750265	247839.113138616	174077.093694359	225508.126337081	145514.720259234	113344.140769914	185159.580688924	118768.778862432	269028.807850555	340052.596270107	363142.742449418	350382.498535328	370242.093107663
"ABHD14A-ACY1"	90493.9952772111	3209.67787411064	78769.0593162552	85439.9997042492	222571.738623083	186950.012901798	101683.316985145	261334.322486073	272097.069164738	161772.764986381	143430.060800165	274792.1760194	372404.879424721	356442.25794822	303318.503149785	301346.446364187
"ABHD14B"	80257.6564019546	16799.5949508622	32867.7487326786	19936.4817002788	282588.734431192	269082.621345297	209460.160974413	127694.842452183	227992.156147957	230704.901227728	226019.178004935	257745.333155617	308895.424194634	360318.927140906	315772.857121192	387685.836176388
"ABHD15"	32751.8837992102	38060.935633257	50530.7787330821	12600.5230238661	268566.344026476	259644.880751148	133907.949272543	176506.735011935	210570.090357214	265611.880877987	105961.336242035	166782.628605142	398171.644215472	331561.297085136	367102.71476768	364551.858324558
"ABHD16A"	7548.0445753783	47438.4241271764	26458.9545549825	23074.6073182672	263929.620105773	226048.087514937	174878.626130521	225203.272840008	265550.557244569	157975.528668612	162759.234104306	259663.548320532	354731.193603948	365949.462074786	305206.920416094	332978.75658609
"ABHD16B"	59619.9386520311	15892.5578929484	85505.4837884381	23745.3795736656	165951.859857887	111691.584531218	228665.534453467	137586.886342615	258276.677737013	122289.313422516	207947.34316878	234818.224050105	382405.191496946	343009.33110062	382131.472509354	387313.859630376
"ABHD17A"	79711.1698659137	7848.55918027461	54189.6132519469	71694.4619547576	157316.942606121	239160.561095923	256802.266091108	294806.174747646	248908.897442743	202997.967181727	220422.848779708	247794.406535104	384467.573300935	346485.07151287	380380.13225887	345879.251859151
"ABHD17B"	4077.93361227959	2560.04477851093	74061.6431226954	77014.9066345766	134771.790308878	259987.280797213	245981.690473855	236290.802340955	226340.180495754	231980.04658334	214294.836716726	269383.319746703	383866.923488677	363439.388899133	383089.348464273	304268.062999472
"ABHD17C"	53867.8189739585	38813.6441353709	46941.7703105137	12248.6484702677	108171.383943409	158056.987216696	206918.829679489	149168.718466535	260510.918172076	108905.445272103	286681.711068377	109744.045836851	379929.850716144	399363.118689507	329280.980257317	371998.404106125
"ABHD2"	83938.9205910265	26737.0534362271	19510.1094432175	25130.0157513469	169570.699613541	147982.767038047	134001.501649618	140267.186658457	207134.681660682	199053.716287017	238037.374755368	173537.020944059	365112.572535872	352302.950876765	361021.135980263	336817.101947963
"ABHD3"	38913.2907614112	84359.9605374038	98059.7431305796	30631.9694267586	189251.714199781	185967.265861109	202450.544014573	144029.724225402	155049.593234435	132508.200313896	253098.722500727	173894.188785926	362638.552719727	333893.250138499	350269.39380914	359298.338531516
"ABHD4"	27041.6778046638	62293.7597101554	62385.1801268756	5579.02187574655	282324.143964797	134222.012292594	250577.390938997	222819.518810138	164709.199499339	146976.86098516	143005.470279604	291094.485716894	372100.949310698	399267.924507149	360505.864280276	342212.733766064
"ABHD5"	74546.7210188508	31083.8361736387	4251.64320040494	56730.2543437108	264401.728985831	137223.572097719	275497.693568468	125624.952139333	249010.600429028	105813.651299104	273862.609639764	204262.502491474	338719.040178694	332455.395604484	348577.136662789	303270.001173951
"ABHD6"	1639.57828190178	87586.5294365212	52748.3543846756	10945.6356149167	280856.902291998	186400.296306238	147586.934408173	112420.465238392	243915.361398831	217394.756292924	161081.878095865	280550.781171769	344673.102605157	315515.940985642	324812.470143661	325803.696271032
